"Trade Date ","1 USD ","1 GBP ","1 EURO ","100 YEN "
"31-Mar-2022","75.8071","99.5524","84.6599","62.2300"
"30-Mar-2022","75.7678","99.4609","84.2391","62.2400"
"29-Mar-2022","75.9731","99.5602","83.6099","61.5700"
"28-Mar-2022","76.2569","100.2677","83.5821","61.9300"
"25-Mar-2022","76.1781","100.6800","84.0067","62.5400"
"24-Mar-2022","76.3403","100.7142","83.8323","62.8400"
"23-Mar-2022","76.1872","101.1766","84.0883","62.9100"
"22-Mar-2022","76.3807","100.2792","83.8986","63.4500"
"21-Mar-2022","76.1347","100.1740","84.0796","63.8400"
"17-Mar-2022","75.8935","99.8349","83.6549","63.8800"
"16-Mar-2022","76.3482","99.6324","83.7906","64.5400"
"15-Mar-2022","76.4879","99.7142","83.9801","64.6400"
"14-Mar-2022","76.6086","99.7582","83.6551","65.0400"
"11-Mar-2022","76.4359","100.0658","84.0851","65.5100"
"10-Mar-2022","76.1160","100.3189","84.1838","65.5900"
"09-Mar-2022","76.8567","100.8078","83.9080","66.3900"
"08-Mar-2022","76.8816","100.7800","83.4806","66.5800"
"07-Mar-2022","76.9239","101.6636","83.7091","66.9300"
"04-Mar-2022","76.1246","101.5741","83.9538","65.9100"
"03-Mar-2022","75.7111","101.4948","84.0348","65.4500"
"02-Mar-2022","75.7200","100.6899","84.1007","65.7600"
"28-Feb-2022","75.4882","100.9207","84.2614","65.3400"
"25-Feb-2022","75.2842","101.0299","84.3785","65.3200"
"24-Feb-2022","75.2578","101.6347","84.6414","65.6900"
"23-Feb-2022","74.6224","101.4531","84.5253","64.8600"
"22-Feb-2022","74.8804","101.7904","84.6298","65.2600"
"21-Feb-2022","74.4797","101.4463","84.6636","64.7800"
"18-Feb-2022","74.9223","101.9653","85.1627","65.0400"
"17-Feb-2022","75.0866","101.9516","85.2568","65.1700"
"16-Feb-2022","75.0815","101.7565","85.2776","64.9200"
"15-Feb-2022","75.6611","102.3760","85.6201","65.6000"
"14-Feb-2022","75.5533","102.3067","85.7263","65.4700"
"11-Feb-2022","75.3542","101.8985","85.7405","64.9100"
"10-Feb-2022","74.9367","101.4103","85.5992","64.7800"
"09-Feb-2022","74.8180","101.4258","85.4531","64.7600"
"08-Feb-2022","74.6900","100.9878","85.2786","64.6600"
"04-Feb-2022","74.7231","101.5477","85.6098","64.9900"
"03-Feb-2022","74.8570","101.4627","84.5575","65.3500"
"02-Feb-2022","74.8334","101.1947","84.3617","65.2200"
"01-Feb-2022","74.5295","100.2501","83.7662","64.8100"
"31-Jan-2022","74.9674","100.6332","83.7026","64.9200"
"28-Jan-2022","74.9513","100.5157","83.5977","64.9500"
"27-Jan-2022","75.1724","100.9315","84.3449","65.5400"
"25-Jan-2022","74.7025","100.7035","84.4840","65.6000"
"24-Jan-2022","74.5788","100.9886","84.4093","65.5200"
"21-Jan-2022","74.5343","101.3030","84.4260","65.4800"
"20-Jan-2022","74.3618","101.3422","84.4091","64.9700"
"19-Jan-2022","74.5955","101.5140","84.5336","65.2800"
"18-Jan-2022","74.4115","101.4710","84.7944","64.7900"
"17-Jan-2022","74.3134","101.6107","84.8188","64.9000"
"14-Jan-2022","74.1157","101.7880","85.0749","65.1700"
"13-Jan-2022","73.9348","101.3478","84.5952","64.5000"
"12-Jan-2022","73.9968","100.9588","84.1610","64.1600"
"11-Jan-2022","73.9319","100.4813","83.8472","64.1600"
"10-Jan-2022","74.1630","100.7213","84.0232","64.0400"
"07-Jan-2022","74.2939","100.6123","83.9660","64.0800"
"06-Jan-2022","74.4398","100.6838","84.1467","64.2500"
"05-Jan-2022","74.4840","100.7739","84.1247","64.2000"
"04-Jan-2022","74.5717","100.3939","84.2431","64.4100"
"03-Jan-2022","74.3115","100.3592","84.3049","64.4300"
"31-Dec-2021","74.3025","100.3014","84.0450","64.5400"
"30-Dec-2021","74.5823","100.5265","84.4321","64.7700"
"29-Dec-2021","74.7375","100.3336","84.4798","65.0400"
"28-Dec-2021","74.8528","100.5548","84.7803","65.1600"
"27-Dec-2021","75.1082","100.6325","84.9819","65.6200"
"24-Dec-2021","75.1462","100.6553","85.1331","65.6900"
"23-Dec-2021","75.3481","100.5993","85.4216","65.9800"
"22-Dec-2021","75.5947","100.1756","85.2109","66.2300"
"21-Dec-2021","75.5925","99.9020","85.2497","66.4500"
"20-Dec-2021","75.9865","100.4699","85.5172","66.9700"
"17-Dec-2021","76.1733","101.5487","86.3927","67.0700"
"16-Dec-2021","76.2528","101.0202","86.0681","66.7700"
"15-Dec-2021","76.0433","100.6925","85.7094","66.8700"
"14-Dec-2021","75.8985","100.2908","85.6251","66.8000"
"13-Dec-2021","75.7060","100.1843","85.4564","66.6700"
"10-Dec-2021","75.7189","100.1211","85.5518","66.6800"
"09-Dec-2021","75.4992","99.7702","85.5602","66.4300"
"08-Dec-2021","75.4733","99.9991","85.2114","66.4800"
