"Index Name","Date","Open","High","Low","Close"
"NIFTY OIL & GAS","31 Mar 2022","7849.80","7943.55","7838.95","7866.25"
"NIFTY OIL & GAS","30 Mar 2022","7872.50","7920.05","7825.60","7853.65"
"NIFTY OIL & GAS","29 Mar 2022","7943.80","7943.80","7835.90","7882.70"
"NIFTY OIL & GAS","28 Mar 2022","7882.45","7953.50","7822.60","7900.00"
"NIFTY OIL & GAS","25 Mar 2022","7851.90","7894.20","7815.85","7829.60"
"NIFTY OIL & GAS","24 Mar 2022","7726.55","7829.75","7700.05","7817.40"
"NIFTY OIL & GAS","23 Mar 2022","7723.10","7775.05","7707.00","7730.10"
"NIFTY OIL & GAS","22 Mar 2022","7603.75","7706.70","7592.70","7697.35"
"NIFTY OIL & GAS","21 Mar 2022","7574.15","7624.15","7539.25","7555.85"
"NIFTY OIL & GAS","17 Mar 2022","7517.10","7622.35","7478.95","7604.50"
"NIFTY OIL & GAS","16 Mar 2022","7375.70","7473.70","7349.20","7461.65"
"NIFTY OIL & GAS","15 Mar 2022","7495.40","7500.80","7280.90","7313.40"
"NIFTY OIL & GAS","14 Mar 2022","7526.50","7546.95","7446.80","7502.35"
"NIFTY OIL & GAS","11 Mar 2022","7455.45","7550.55","7448.05","7542.05"
"NIFTY OIL & GAS","10 Mar 2022","7451.15","7493.65","7390.00","7479.95"
"NIFTY OIL & GAS","09 Mar 2022","7395.30","7453.20","7350.40","7403.95"
"NIFTY OIL & GAS","08 Mar 2022","7367.65","7434.50","7214.50","7326.90"
"NIFTY OIL & GAS","07 Mar 2022","7332.70","7404.75","7275.15","7378.75"
"NIFTY OIL & GAS","04 Mar 2022","7452.70","7478.05","7344.15","7388.00"
"NIFTY OIL & GAS","03 Mar 2022","7472.45","7502.40","7406.95","7463.00"
"NIFTY OIL & GAS","02 Mar 2022","7264.60","7411.45","7222.40","7355.85"
"NIFTY OIL & GAS","28 Feb 2022","7016.95","7286.35","6996.90","7268.35"
"NIFTY OIL & GAS","25 Feb 2022","7063.00","7145.00","7049.40","7082.90"
"NIFTY OIL & GAS","24 Feb 2022","7158.70","7218.60","6943.65","6960.15"
"NIFTY OIL & GAS","23 Feb 2022","7386.45","7425.45","7321.85","7340.55"
"NIFTY OIL & GAS","22 Feb 2022","7296.35","7357.20","7249.95","7346.00"
