"Index Name","Date","Open","High","Low","Close"
"NIFTY MNC","31 Mar 2022","18001.00","18125.70","17992.15","18107.30"
"NIFTY MNC","30 Mar 2022","17939.30","17985.75","17845.25","17970.45"
"NIFTY MNC","29 Mar 2022","17783.90","17846.45","17736.60","17817.45"
"NIFTY MNC","28 Mar 2022","17741.30","17790.15","17553.40","17698.00"
"NIFTY MNC","25 Mar 2022","17919.75","17930.05","17670.05","17713.55"
"NIFTY MNC","24 Mar 2022","17843.70","17961.10","17817.65","17871.10"
"NIFTY MNC","23 Mar 2022","18059.45","18082.95","17864.75","17900.80"
"NIFTY MNC","22 Mar 2022","18063.50","18080.50","17749.25","17949.65"
"NIFTY MNC","21 Mar 2022","18297.80","18320.95","18026.50","18066.25"
"NIFTY MNC","17 Mar 2022","18096.10","18195.70","18066.40","18183.20"
"NIFTY MNC","16 Mar 2022","17835.80","17958.90","17761.05","17942.20"
"NIFTY MNC","15 Mar 2022","17722.60","17851.70","17555.65","17640.10"
"NIFTY MNC","14 Mar 2022","17717.40","17746.65","17536.05","17727.65"
"NIFTY MNC","11 Mar 2022","17734.10","17781.10","17625.15","17695.60"
"NIFTY MNC","10 Mar 2022","17738.50","17819.10","17567.85","17746.05"
"NIFTY MNC","09 Mar 2022","17201.75","17443.35","17088.00","17403.05"
"NIFTY MNC","08 Mar 2022","17059.90","17152.80","16808.85","17133.45"
"NIFTY MNC","07 Mar 2022","17253.20","17293.00","16957.65","17066.10"
"NIFTY MNC","04 Mar 2022","17862.60","17890.85","17466.05","17557.35"
"NIFTY MNC","03 Mar 2022","18398.30","18403.50","17966.20","17995.15"
"NIFTY MNC","02 Mar 2022","18244.50","18307.30","18107.95","18216.95"
"NIFTY MNC","28 Feb 2022","18169.90","18384.75","17943.35","18357.85"
"NIFTY MNC","25 Feb 2022","18061.65","18335.45","18053.55","18259.80"
"NIFTY MNC","24 Feb 2022","18140.15","18283.95","17840.65","17886.20"
"NIFTY MNC","23 Feb 2022","18635.90","18707.40","18560.90","18596.35"
"NIFTY MNC","22 Feb 2022","18284.35","18576.85","18254.80","18552.30"
"NIFTY MNC","21 Feb 2022","18587.10","18689.70","18399.40","18615.70"
"NIFTY MNC","18 Feb 2022","18720.20","18802.70","18636.60","18671.85"
"NIFTY MNC","17 Feb 2022","18846.05","18907.55","18707.10","18811.50"
"NIFTY MNC","16 Feb 2022","18886.70","18927.05","18729.45","18773.95"
"NIFTY MNC","15 Feb 2022","18485.95","18822.40","18343.45","18804.85"
"NIFTY MNC","14 Feb 2022","18571.70","18632.75","18328.45","18379.00"
"NIFTY MNC","11 Feb 2022","19087.10","19088.80","18905.35","18923.75"
"NIFTY MNC","10 Feb 2022","19222.70","19223.95","19063.65","19183.95"
"NIFTY MNC","09 Feb 2022","18944.95","19182.05","18926.00","19158.85"
"NIFTY MNC","08 Feb 2022","18990.25","19054.65","18736.20","18875.70"
"NIFTY MNC","07 Feb 2022","19100.85","19180.00","18793.50","18905.45"
"NIFTY MNC","04 Feb 2022","19174.60","19183.00","19060.20","19108.35"
"NIFTY MNC","03 Feb 2022","19176.25","19248.00","19102.65","19135.35"
"NIFTY MNC","02 Feb 2022","19211.90","19270.60","19150.00","19202.85"
"NIFTY MNC","01 Feb 2022","18971.55","19139.25","18831.10","19113.00"
"NIFTY MNC","31 Jan 2022","18818.45","18893.90","18728.30","18827.20"
"NIFTY MNC","28 Jan 2022","18712.00","18927.10","18659.15","18681.20"
"NIFTY MNC","27 Jan 2022","18709.50","18719.15","18407.40","18629.10"
"NIFTY MNC","25 Jan 2022","18383.15","18838.85","18138.90","18809.80"
"NIFTY MNC","24 Jan 2022","18994.20","19044.00","18346.70","18480.70"
"NIFTY MNC","21 Jan 2022","18975.70","19134.45","18870.05","19019.15"
"NIFTY MNC","20 Jan 2022","19130.50","19215.40","18963.95","19035.85"
"NIFTY MNC","19 Jan 2022","19235.05","19237.80","19058.20","19130.40"
"NIFTY MNC","18 Jan 2022","19636.10","19639.20","19218.40","19251.25"
"NIFTY MNC","17 Jan 2022","19588.70","19639.75","19517.20","19601.20"
"NIFTY MNC","14 Jan 2022","19603.25","19682.10","19532.65","19560.10"
"NIFTY MNC","13 Jan 2022","19626.30","19670.40","19546.85","19648.05"
"NIFTY MNC","12 Jan 2022","19555.35","19587.40","19489.95","19573.40"
"NIFTY MNC","11 Jan 2022","19536.30","19588.75","19414.20","19465.80"
"NIFTY MNC","10 Jan 2022","19531.20","19614.15","19519.75","19564.80"
"NIFTY MNC","07 Jan 2022","19433.95","19508.30","19387.45","19473.80"
"NIFTY MNC","06 Jan 2022","19360.20","19428.65","19301.60","19402.65"
"NIFTY MNC","05 Jan 2022","19407.35","19467.05","19342.15","19445.80"
"NIFTY MNC","04 Jan 2022","19445.70","19461.90","19253.20","19387.70"
"NIFTY MNC","03 Jan 2022","19257.50","19398.60","19251.90","19353.80"
"NIFTY MNC","31 Dec 2021","18966.55","19246.80","18958.30","19225.80"
"NIFTY MNC","30 Dec 2021","18981.35","19002.55","18907.15","18934.45"
"NIFTY MNC","29 Dec 2021","18970.85","19018.25","18914.25","18966.65"
"NIFTY MNC","28 Dec 2021","18911.95","19002.05","18885.15","18976.10"
"NIFTY MNC","27 Dec 2021","18795.85","18854.35","18635.85","18817.55"
"NIFTY MNC","24 Dec 2021","19034.20","19038.05","18803.05","18833.45"
"NIFTY MNC","23 Dec 2021","18936.00","18990.95","18895.05","18949.35"
"NIFTY MNC","22 Dec 2021","18716.65","18829.10","18713.90","18811.90"
"NIFTY MNC","21 Dec 2021","18456.85","18759.60","18442.25","18649.80"
"NIFTY MNC","20 Dec 2021","18543.70","18557.15","18127.10","18355.90"
"NIFTY MNC","17 Dec 2021","19045.45","19073.20","18672.50","18705.30"
"NIFTY MNC","16 Dec 2021","19195.00","19235.15","19025.15","19088.80"
"NIFTY MNC","15 Dec 2021","19245.15","19268.25","19095.40","19130.65"
"NIFTY MNC","14 Dec 2021","19210.20","19280.10","19128.80","19243.00"
"NIFTY MNC","13 Dec 2021","19372.00","19425.45","19194.35","19220.75"
"NIFTY MNC","10 Dec 2021","19133.20","19253.85","19101.10","19224.80"
"NIFTY MNC","09 Dec 2021","19061.15","19155.25","18996.05","19136.65"
"NIFTY MNC","08 Dec 2021","18808.40","18996.55","18805.95","18976.00"
"NIFTY MNC","07 Dec 2021","18708.40","18835.00","18649.60","18751.30"
"NIFTY MNC","06 Dec 2021","18854.00","18862.45","18539.95","18571.70"
"NIFTY MNC","03 Dec 2021","18875.80","18945.05","18772.25","18813.90"
"NIFTY MNC","02 Dec 2021","18752.15","18885.10","18691.80","18866.90"
"NIFTY MNC","01 Dec 2021","18663.65","18746.05","18584.65","18727.10"
"NIFTY MNC","30 Nov 2021","18644.85","18816.80","18452.75","18540.55"
"NIFTY MNC","29 Nov 2021","18623.80","18673.15","18287.55","18614.35"
"NIFTY MNC","26 Nov 2021","19087.65","19087.65","18643.70","18695.90"
"NIFTY MNC","25 Nov 2021","19161.30","19244.75","19040.70","19206.60"
"NIFTY MNC","24 Nov 2021","19374.40","19383.15","19104.75","19167.45"
"NIFTY MNC","23 Nov 2021","19112.30","19393.05","19032.70","19357.05"
"NIFTY MNC","22 Nov 2021","19388.15","19421.75","18894.85","19095.30"
"NIFTY MNC","18 Nov 2021","19725.30","19737.10","19239.60","19308.20"
"NIFTY MNC","17 Nov 2021","19667.70","19771.45","19633.80","19691.95"
"NIFTY MNC","16 Nov 2021","19679.55","19796.65","19622.85","19700.55"
"NIFTY MNC","15 Nov 2021","19575.40","19670.80","19524.85","19644.80"
"NIFTY MNC","12 Nov 2021","19533.75","19585.30","19453.65","19544.10"
"NIFTY MNC","11 Nov 2021","19574.05","19574.05","19351.55","19421.55"
"NIFTY MNC","10 Nov 2021","19573.15","19622.05","19531.15","19573.10"
"NIFTY MNC","09 Nov 2021","19630.10","19679.60","19560.05","19632.65"
