"Index Name","Date","Open","High","Low","Close"
"NIFTY ENERGY","31 Mar 2023","22552.65","22948.85","22550.35","22814.45"
"NIFTY ENERGY","29 Mar 2023","22260.60","22494.80","22205.45","22373.05"
"NIFTY ENERGY","28 Mar 2023","22452.55","22473.45","22300.00","22388.85"
"NIFTY ENERGY","27 Mar 2023","22718.05","22811.50","22466.50","22514.55"
"NIFTY ENERGY","24 Mar 2023","22905.10","22947.75","22580.45","22613.40"
"NIFTY ENERGY","23 Mar 2023","22841.85","22918.55","22739.45","22821.75"
"NIFTY ENERGY","22 Mar 2023","22930.25","22940.35","22785.95","22835.75"
"NIFTY ENERGY","21 Mar 2023","22715.25","22826.50","22589.15","22792.90"
"NIFTY ENERGY","20 Mar 2023","22529.90","22655.45","22405.55","22585.70"
"NIFTY ENERGY","17 Mar 2023","22850.20","22870.75","22598.45","22659.00"
"NIFTY ENERGY","16 Mar 2023","22480.50","22735.60","22295.30","22621.35"
"NIFTY ENERGY","15 Mar 2023","22505.85","22550.00","22351.70","22393.70"
"NIFTY ENERGY","14 Mar 2023","22564.90","22678.35","22319.45","22403.30"
"NIFTY ENERGY","13 Mar 2023","22836.65","22918.90","22513.20","22561.65"
"NIFTY ENERGY","10 Mar 2023","22570.45","22718.05","22509.45","22696.75"
"NIFTY ENERGY","09 Mar 2023","22988.30","22989.25","22654.60","22682.15"
"NIFTY ENERGY","08 Mar 2023","22717.60","22898.60","22646.80","22887.75"
"NIFTY ENERGY","06 Mar 2023","22446.10","22785.35","22436.10","22698.50"
"NIFTY ENERGY","03 Mar 2023","22098.90","22339.20","22066.90","22268.75"
"NIFTY ENERGY","02 Mar 2023","21894.55","21961.35","21831.90","21900.05"
"NIFTY ENERGY","01 Mar 2023","21768.95","21899.35","21725.65","21874.60"
"NIFTY ENERGY","28 Feb 2023","21801.30","21844.65","21631.10","21682.25"
"NIFTY ENERGY","27 Feb 2023","21890.05","21937.20","21724.65","21900.60"
"NIFTY ENERGY","24 Feb 2023","21774.90","21979.85","21770.20","21946.65"
"NIFTY ENERGY","23 Feb 2023","21880.95","21975.50","21750.85","21801.80"
"NIFTY ENERGY","22 Feb 2023","22204.85","22226.20","21862.10","21916.45"
"NIFTY ENERGY","21 Feb 2023","22296.15","22425.75","22220.70","22339.00"
"NIFTY ENERGY","20 Feb 2023","22461.55","22506.80","22217.45","22249.05"
"NIFTY ENERGY","17 Feb 2023","22367.95","22544.70","22324.10","22469.20"
"NIFTY ENERGY","16 Feb 2023","22448.65","22631.40","22380.70","22427.65"
"NIFTY ENERGY","15 Feb 2023","22140.20","22380.75","22132.05","22349.15"
"NIFTY ENERGY","14 Feb 2023","22203.70","22295.70","22106.05","22273.85"
"NIFTY ENERGY","13 Feb 2023","22248.05","22322.15","22160.20","22258.95"
"NIFTY ENERGY","10 Feb 2023","22365.40","22391.45","22242.10","22325.85"
"NIFTY ENERGY","09 Feb 2023","22506.80","22559.70","22329.05","22499.75"
"NIFTY ENERGY","08 Feb 2023","22440.60","22607.75","22414.10","22559.80"
"NIFTY ENERGY","07 Feb 2023","22391.70","22646.75","22314.10","22386.50"
"NIFTY ENERGY","06 Feb 2023","22328.70","22501.15","22304.10","22478.05"
"NIFTY ENERGY","03 Feb 2023","22707.80","22707.80","22350.35","22638.40"
"NIFTY ENERGY","02 Feb 2023","22994.05","23123.60","22785.25","22874.00"
"NIFTY ENERGY","01 Feb 2023","24060.45","24064.15","23001.80","23402.75"
"NIFTY ENERGY","31 Jan 2023","23497.95","23770.85","23305.05","23713.50"
"NIFTY ENERGY","30 Jan 2023","23711.45","24181.50","23144.85","23434.70"
"NIFTY ENERGY","27 Jan 2023","25262.00","25336.20","23948.85","24169.95"
"NIFTY ENERGY","25 Jan 2023","25864.20","25908.30","25374.10","25450.30"
"NIFTY ENERGY","24 Jan 2023","26230.00","26230.00","25896.40","25962.25"
"NIFTY ENERGY","23 Jan 2023","26232.30","26294.75","26077.10","26137.45"
"NIFTY ENERGY","20 Jan 2023","26189.10","26252.50","26087.55","26135.05"
"NIFTY ENERGY","19 Jan 2023","26216.15","26230.55","26013.15","26163.00"
"NIFTY ENERGY","18 Jan 2023","26307.55","26340.65","26174.65","26272.55"
"NIFTY ENERGY","17 Jan 2023","26116.60","26369.35","26080.50","26331.10"
"NIFTY ENERGY","16 Jan 2023","25943.05","26055.60","25788.40","26026.90"
"NIFTY ENERGY","13 Jan 2023","25668.75","25883.20","25578.90","25862.55"
"NIFTY ENERGY","12 Jan 2023","25941.55","25941.55","25584.75","25699.60"
"NIFTY ENERGY","11 Jan 2023","26115.40","26152.90","25830.95","25876.60"
"NIFTY ENERGY","10 Jan 2023","26223.30","26227.35","25831.25","26092.90"
"NIFTY ENERGY","09 Jan 2023","25886.15","26208.85","25876.55","26163.95"
"NIFTY ENERGY","06 Jan 2023","25766.00","25857.70","25641.95","25728.85"
"NIFTY ENERGY","05 Jan 2023","25702.55","25772.85","25453.45","25717.85"
"NIFTY ENERGY","04 Jan 2023","26018.80","26029.00","25571.95","25605.55"
"NIFTY ENERGY","03 Jan 2023","26018.95","26070.95","25878.95","26005.30"
"NIFTY ENERGY","02 Jan 2023","25948.20","26127.50","25879.55","26031.00"
"NIFTY ENERGY","30 Dec 2022","25984.50","26180.05","25797.15","25869.85"
"NIFTY ENERGY","29 Dec 2022","25566.05","25974.60","25493.50","25863.60"
"NIFTY ENERGY","28 Dec 2022","25583.05","25774.20","25542.05","25725.35"
"NIFTY ENERGY","27 Dec 2022","25539.85","25803.95","25425.85","25641.70"
"NIFTY ENERGY","26 Dec 2022","24924.95","25553.15","24665.55","25395.65"
"NIFTY ENERGY","23 Dec 2022","25678.95","25779.50","24783.65","24879.95"
"NIFTY ENERGY","22 Dec 2022","26230.10","26306.50","25747.95","25879.20"
"NIFTY ENERGY","21 Dec 2022","26647.65","26747.35","26059.30","26125.30"
"NIFTY ENERGY","20 Dec 2022","26510.15","26660.80","26220.60","26619.50"
"NIFTY ENERGY","19 Dec 2022","26400.35","26617.95","26291.25","26578.70"
"NIFTY ENERGY","16 Dec 2022","26429.35","26713.85","26232.95","26302.00"
"NIFTY ENERGY","15 Dec 2022","26606.10","26698.05","26446.75","26489.20"
"NIFTY ENERGY","14 Dec 2022","26561.25","26739.70","26536.95","26648.00"
"NIFTY ENERGY","13 Dec 2022","26511.30","26548.85","26419.70","26482.35"
"NIFTY ENERGY","12 Dec 2022","26242.75","26488.00","26118.15","26450.30"
"NIFTY ENERGY","09 Dec 2022","26712.25","26744.25","26248.15","26370.45"
"NIFTY ENERGY","08 Dec 2022","26811.65","26812.15","26596.50","26643.20"
"NIFTY ENERGY","07 Dec 2022","26978.90","27033.20","26631.80","26714.50"
"NIFTY ENERGY","06 Dec 2022","26877.15","27059.30","26813.95","27021.05"
"NIFTY ENERGY","05 Dec 2022","27043.75","27073.65","26764.40","26931.65"
"NIFTY ENERGY","02 Dec 2022","27219.50","27270.80","26957.60","27028.05"
"NIFTY ENERGY","01 Dec 2022","27514.95","27545.15","27130.60","27183.15"
"NIFTY ENERGY","30 Nov 2022","26913.90","27494.45","26828.95","27354.00"
"NIFTY ENERGY","29 Nov 2022","26830.90","26985.75","26774.00","26884.45"
"NIFTY ENERGY","28 Nov 2022","26424.65","26899.60","26052.05","26804.80"
"NIFTY ENERGY","25 Nov 2022","26370.85","26486.60","26150.70","26452.60"
"NIFTY ENERGY","24 Nov 2022","26164.85","26356.80","26107.20","26312.95"
"NIFTY ENERGY","23 Nov 2022","26148.95","26177.35","25987.65","26080.20"
"NIFTY ENERGY","22 Nov 2022","26138.95","26195.50","25979.70","26050.15"
"NIFTY ENERGY","21 Nov 2022","26409.30","26439.70","26099.45","26141.90"
"NIFTY ENERGY","18 Nov 2022","26655.60","26693.85","26295.85","26489.30"
"NIFTY ENERGY","17 Nov 2022","26731.35","26872.55","26502.65","26584.20"
"NIFTY ENERGY","16 Nov 2022","27016.45","27032.90","26695.80","26760.10"
"NIFTY ENERGY","15 Nov 2022","26904.15","27022.25","26843.60","26994.95"
"NIFTY ENERGY","14 Nov 2022","27001.15","27025.55","26820.80","26866.30"
