"Trade Date ","1 USD ","1 GBP ","1 EURO ","100 YEN "
"29-Mar-2023","82.3603","101.4306","89.1709","62.4500"
"28-Mar-2023","82.2068","101.2536","88.8968","62.8500"
"27-Mar-2023","82.3558","100.6761","88.5786","62.7600"
"24-Mar-2023","82.2378","100.9836","89.0624","63.1300"
"23-Mar-2023","82.1590","101.2725","89.6262","62.8700"
"21-Mar-2023","82.6799","101.2812","88.5237","62.8900"
"20-Mar-2023","82.5030","100.4672","88.0109","62.7300"
"17-Mar-2023","82.4663","100.2477","87.8090","62.0300"
"16-Mar-2023","82.6841","99.8063","87.6672","62.2200"
"15-Mar-2023","82.4955","100.2485","88.5452","61.2200"
"14-Mar-2023","82.3619","100.1845","88.1047","61.6400"
"13-Mar-2023","81.9132","99.2215","87.8393","60.9400"
"10-Mar-2023","82.0147","97.7927","86.8366","59.9800"
"09-Mar-2023","81.9159","97.1086","86.4213","59.9200"
"08-Mar-2023","82.0890","97.0642","86.4769","59.6100"
"06-Mar-2023","81.7448","98.3161","86.9688","60.1800"
"03-Mar-2023","82.2643","98.5208","87.3241","60.2700"
"02-Mar-2023","82.5555","98.9532","87.8302","60.4000"
"01-Mar-2023","82.5467","99.4732","87.4995","60.5500"
"28-Feb-2023","82.6816","99.6010","87.5471","60.6800"
"27-Feb-2023","82.9145","99.0121","87.4085","60.8400"
"24-Feb-2023","82.7432","99.4937","87.7045","61.4900"
"23-Feb-2023","82.7628","99.8517","87.9178","61.4000"
"22-Feb-2023","82.8434","100.2803","88.2818","61.4300"
"21-Feb-2023","82.7562","99.5579","88.3202","61.5800"
"20-Feb-2023","82.6902","99.5739","88.4102","61.6700"
"17-Feb-2023","82.8085","98.8540","88.0580","61.4500"
"16-Feb-2023","82.6414","99.4936","88.4494","61.7100"
"15-Feb-2023","82.8621","100.5869","88.7276","62.1800"
"14-Feb-2023","82.7163","100.4303","88.8081","62.6700"
"13-Feb-2023","82.7046","99.7241","88.3109","62.5700"
"10-Feb-2023","82.5787","99.9615","88.5668","62.7600"
"09-Feb-2023","82.6103","99.8918","88.7014","62.9100"
"08-Feb-2023","82.6746","99.6152","88.7561","63.0100"
"07-Feb-2023","82.6959","99.6706","88.8204","62.5700"
"06-Feb-2023","82.4540","99.4901","89.0069","62.5800"
"03-Feb-2023","82.2296","100.4813","89.5985","63.9400"
"02-Feb-2023","81.9536","101.5340","90.2555","63.6800"
"01-Feb-2023","81.8494","100.8390","88.9938","62.8400"
"31-Jan-2023","81.7387","100.8983","88.5982","62.7700"
"30-Jan-2023","81.6552","101.1915","88.7331","63.0400"
"27-Jan-2023","81.5445","100.9592","88.6584","62.7700"
"25-Jan-2023","81.6263","100.6523","89.0135","62.5900"
"24-Jan-2023","81.6020","101.0951","88.7841","62.7100"
"23-Jan-2023","81.2757","100.8978","88.5401","62.4900"
"20-Jan-2023","81.2196","100.5352","87.9884","62.9200"
"19-Jan-2023","81.3577","100.4062","87.8848","63.6300"
"18-Jan-2023","81.6480","100.3361","88.0574","62.3800"
"17-Jan-2023","81.7727","99.7649","88.5626","63.5200"
"16-Jan-2023","81.3719","99.7272","88.3460","63.7600"
"13-Jan-2023","81.4328","99.2764","88.2628","63.1000"
"12-Jan-2023","81.7187","99.2425","87.9566","62.0600"
"11-Jan-2023","81.7029","99.4390","87.8551","61.7400"
"10-Jan-2023","82.2108","100.0555","88.2829","62.3500"
"09-Jan-2023","82.3662","100.0387","87.9528","62.4700"
"06-Jan-2023","82.6348","98.4731","86.9235","61.6300"
"05-Jan-2023","82.6973","99.6238","87.7992","62.4900"
"04-Jan-2023","82.9052","99.3829","87.6546","63.4100"
"03-Jan-2023","82.7817","99.9131","88.2508","63.7800"
"02-Jan-2023","82.6287","99.7576","88.3753","63.1100"
"30-Dec-2022","82.7862","99.7436","88.1496","62.4500"
"29-Dec-2022","82.8346","99.7213","88.0040","62.0000"
"28-Dec-2022","82.9183","99.7679","88.2986","61.9000"
"27-Dec-2022","82.7936","100.0958","88.2276","62.3300"
"26-Dec-2022","82.7373","99.8970","87.9415","62.3900"
"23-Dec-2022","82.8685","99.7654","87.9025","62.4600"
"22-Dec-2022","82.6679","100.2470","88.0226","62.7200"
"21-Dec-2022","82.7736","100.6693","87.8443","62.6500"
"20-Dec-2022","82.7902","100.4466","87.7460","62.3000"
"19-Dec-2022","82.6405","100.6473","87.7670","60.7600"
"16-Dec-2022","82.8184","101.1903","88.2629","60.3500"
"15-Dec-2022","82.4822","102.2306","87.9046","60.8000"
"14-Dec-2022","82.5170","102.0295","87.7695","60.9100"
"13-Dec-2022","82.7154","101.6302","87.2835","60.1300"
"12-Dec-2022","82.6425","101.0272","86.8854","60.3100"
"09-Dec-2022","82.2092","100.8241","86.9313","60.4100"
"08-Dec-2022","82.2844","100.4045","86.5171","60.1700"
"07-Dec-2022","82.5391","100.0088","86.2820","59.9300"
"06-Dec-2022","82.2800","100.2000","86.2558","59.9400"
"05-Dec-2022","81.5855","100.5840","86.2718","60.6200"
"02-Dec-2022","81.1771","99.3099","85.4643","60.0700"
"01-Dec-2022","81.1512","98.1670","84.7467","59.4900"
"30-Nov-2022","81.5970","97.7543","84.4507","58.9500"
"29-Nov-2022","81.7121","98.0665","84.8248","58.9600"
"28-Nov-2022","81.7545","98.6880","84.7881","59.1300"
"25-Nov-2022","81.5289","98.6576","84.8732","58.7900"
"24-Nov-2022","81.7655","98.8420","85.3125","58.8600"
"23-Nov-2022","81.8165","97.2635","84.4924","57.8800"
"22-Nov-2022","81.7742","96.8828","83.8611","57.6600"
"21-Nov-2022","81.7732","96.7731","84.0819","58.1800"
"18-Nov-2022","81.6975","97.2271","84.7078","58.4200"
"17-Nov-2022","81.6335","97.1945","84.7726","58.5300"
"16-Nov-2022","81.3354","96.5836","84.4115","58.1700"
"15-Nov-2022","81.4280","95.8929","84.1309","58.0200"
"14-Nov-2022","81.2332","95.5059","83.7455","58.2700"
"11-Nov-2022","80.6483","94.4929","82.4661","56.9600"
"10-Nov-2022","81.7421","93.1827","82.0069","55.9100"
"09-Nov-2022","81.4800","93.9817","81.9759","55.8900"
"07-Nov-2022","82.2112","93.1327","81.7579","55.8400"
"04-Nov-2022","82.5287","92.5928","80.7191","55.7800"
"03-Nov-2022","82.8835","94.4369","81.3645","56.1600"
"02-Nov-2022","82.7650","95.2156","81.7856","56.1600"
"01-Nov-2022","82.7126","95.4382","82.1435","55.9300"
"31-Oct-2022","82.3934","95.5351","81.9232","55.7400"
"28-Oct-2022","82.4092","95.1129","82.1405","56.2500"
"27-Oct-2022","82.3889","95.6228","82.9063","56.5700"
"25-Oct-2022","82.7626","93.4075","81.6988","55.5800"
"21-Oct-2022","82.8619","92.6606","80.9251","55.0900"
"20-Oct-2022","83.2042","93.3618","81.4192","55.4900"
"19-Oct-2022","82.3735","93.0974","81.0121","55.1600"
"18-Oct-2022","82.2279","93.3627","81.0153","55.2300"
"17-Oct-2022","82.4047","92.9976","80.2935","55.4200"
"14-Oct-2022","82.3877","93.3277","80.6845","55.8900"
"13-Oct-2022","82.4013","91.2001","79.9210","56.1100"
"12-Oct-2022","82.2411","90.4126","79.9718","56.2500"
"11-Oct-2022","82.3901","90.8252","79.7855","56.5100"
"10-Oct-2022","82.4028","91.3254","80.1554","56.7000"
"07-Oct-2022","82.4000","91.6942","80.5460","56.8200"
"06-Oct-2022","81.7044","92.5221","80.9603","56.5300"
"04-Oct-2022","81.4267","92.4714","80.2677","56.2200"
"03-Oct-2022","81.7417","91.8106","80.2409","56.4100"
"30-Sep-2022","81.5522","90.7703","80.1093","56.4400"
"29-Sep-2022","81.8633","88.2115","79.0952","56.5900"
"28-Sep-2022","81.9005","87.4681","78.3444","56.6000"
"27-Sep-2022","81.3720","87.9300","78.5837","56.3900"
"26-Sep-2022","81.5750","86.6153","78.7095","56.7100"
"23-Sep-2022","80.9165","90.9156","79.5064","56.9100"
"22-Sep-2022","80.7246","90.6387","79.2608","55.5700"
"21-Sep-2022","79.9226","90.8230","79.4079","55.6100"
"20-Sep-2022","79.6778","91.1647","79.9498","55.5800"
"19-Sep-2022","79.6657","90.8258","79.5244","55.5900"
"16-Sep-2022","79.8180","91.2320","79.7164","55.6000"
"15-Sep-2022","79.5830","91.6186","79.2726","55.4100"
"14-Sep-2022","79.5837","91.4024","79.3391","55.4000"
"13-Sep-2022","79.0640","92.6809","80.2268","55.6200"
