"Trade Date ","1 USD ","1 GBP ","1 EURO ","100 YEN "
"28-Mar-2024","83.3739","105.2935","90.2178","55.0900"
"27-Mar-2024","83.3255","105.1329","90.2243","54.9200"
"26-Mar-2024","83.3559","105.4535","90.4334","55.0800"
"22-Mar-2024","83.3546","105.2485","90.2625","55.0500"
"21-Mar-2024","83.1308","106.3614","90.9118","55.0600"
"20-Mar-2024","83.1022","105.6988","90.3077","54.8300"
"19-Mar-2024","82.9401","105.4135","90.1321","55.1700"
"18-Mar-2024","82.9078","105.5847","90.2755","55.5900"
"15-Mar-2024","82.8919","105.5877","90.1676","55.9000"
"14-Mar-2024","82.8709","106.0228","90.6624","56.0300"
"13-Mar-2024","82.9027","106.0618","90.5933","56.1900"
"12-Mar-2024","82.7450","106.0581","90.5054","56.1400"
"11-Mar-2024","82.6770","106.2383","90.4442","56.2500"
"07-Mar-2024","82.7785","105.4085","90.2330","55.7000"
"06-Mar-2024","82.9078","105.3349","90.0113","55.3100"
"05-Mar-2024","82.9271","105.1355","89.9687","55.0900"
"04-Mar-2024","82.8954","104.9815","89.9028","55.1300"
"01-Mar-2024","82.8702","104.6474","89.5766","55.1100"
"29-Feb-2024","82.9246","105.0317","89.8621","55.3600"
"28-Feb-2024","82.9155","104.9826","89.7842","55.0500"
"27-Feb-2024","82.8915","105.1020","89.9395","55.0700"
"26-Feb-2024","82.8856","104.9951","89.7192","55.1000"
"23-Feb-2024","82.8865","104.9531","89.7114","55.0300"
"22-Feb-2024","82.9240","104.8828","89.8692","55.2000"
"21-Feb-2024","82.8851","104.6784","89.6115","55.2500"
"20-Feb-2024","82.9704","104.4216","89.3580","55.1700"
"16-Feb-2024","83.0375","104.4800","89.3500","55.2600"
"15-Feb-2024","83.0119","104.3249","89.0640","55.2700"
"14-Feb-2024","83.0864","104.7659","89.0553","55.2200"
"13-Feb-2024","83.0190","104.7473","89.3893","55.5300"
"12-Feb-2024","82.9954","104.8298","89.5720","55.6300"
"09-Feb-2024","82.9995","104.7144","89.4037","55.5500"
"08-Feb-2024","82.9762","104.7862","89.4694","55.8100"
"07-Feb-2024","82.9765","104.5769","89.2943","56.0500"
