"Index Name","Date","Open","High","Low","Close"
"NIFTY ENERGY","28 Mar 2024","38803.30","39401.00","38803.30","39020.60"
"NIFTY ENERGY","27 Mar 2024","38629.90","39050.75","38599.80","38690.15"
"NIFTY ENERGY","26 Mar 2024","38096.45","38557.25","38058.90","38428.50"
"NIFTY ENERGY","22 Mar 2024","38314.05","38618.05","38107.95","38411.55"
"NIFTY ENERGY","21 Mar 2024","37984.05","38381.60","37961.40","38328.35"
"NIFTY ENERGY","20 Mar 2024","37391.50","37670.30","37058.90","37630.70"
"NIFTY ENERGY","19 Mar 2024","37592.40","37742.20","37053.85","37232.10"
"NIFTY ENERGY","18 Mar 2024","37497.25","37935.60","37284.50","37825.40"
"NIFTY ENERGY","15 Mar 2024","38042.80","38280.65","36854.95","37583.10"
"NIFTY ENERGY","14 Mar 2024","37417.90","38272.90","37261.85","38159.95"
"NIFTY ENERGY","13 Mar 2024","39628.60","39649.65","37209.95","37439.40"
"NIFTY ENERGY","12 Mar 2024","39863.25","39990.70","39539.10","39599.25"
"NIFTY ENERGY","11 Mar 2024","40251.40","40415.05","39761.90","39853.10"
"NIFTY ENERGY","07 Mar 2024","40475.70","40681.85","40182.80","40301.80"
"NIFTY ENERGY","06 Mar 2024","40558.70","40749.20","39747.40","40451.50"
"NIFTY ENERGY","05 Mar 2024","40468.95","40702.40","40264.20","40646.10"
"NIFTY ENERGY","04 Mar 2024","39927.05","40635.65","39895.55","40466.60"
"NIFTY ENERGY","02 Mar 2024","39792.75","39880.05","39626.75","39753.55"
"NIFTY ENERGY","01 Mar 2024","39059.05","39757.40","39050.10","39707.10"
"NIFTY ENERGY","29 Feb 2024","38911.45","39047.30","38567.65","38838.00"
"NIFTY ENERGY","28 Feb 2024","39624.90","39698.80","38652.35","38748.05"
"NIFTY ENERGY","27 Feb 2024","39617.75","39837.80","39461.55","39659.50"
"NIFTY ENERGY","26 Feb 2024","39590.70","39901.70","39414.90","39758.90"
"NIFTY ENERGY","23 Feb 2024","39696.40","39704.25","39375.35","39561.45"
"NIFTY ENERGY","22 Feb 2024","39388.60","39651.20","38723.30","39589.55"
"NIFTY ENERGY","21 Feb 2024","40067.65","40113.30","39133.45","39283.15"
"NIFTY ENERGY","20 Feb 2024","39859.10","40027.85","39609.65","39955.15"
"NIFTY ENERGY","19 Feb 2024","39866.10","40146.45","39704.05","39804.50"
"NIFTY ENERGY","16 Feb 2024","40140.30","40194.90","39627.05","39682.40"
"NIFTY ENERGY","15 Feb 2024","39444.95","40064.35","39344.75","39942.15"
"NIFTY ENERGY","14 Feb 2024","38230.60","39324.45","38087.45","39253.50"
"NIFTY ENERGY","13 Feb 2024","38271.45","38635.00","37820.40","38394.30"
"NIFTY ENERGY","12 Feb 2024","38937.40","38990.00","37946.15","38097.10"
"NIFTY ENERGY","09 Feb 2024","39571.50","39612.95","38386.10","39037.65"
"NIFTY ENERGY","08 Feb 2024","39218.45","39600.10","38901.95","39354.35"
"NIFTY ENERGY","07 Feb 2024","39025.90","39425.75","38768.15","38945.50"
"NIFTY ENERGY","06 Feb 2024","38646.60","38796.00","37968.50","38721.40"
"NIFTY ENERGY","05 Feb 2024","38395.45","39045.30","38028.85","38481.30"
"NIFTY ENERGY","02 Feb 2024","37139.05","38226.60","37122.75","38077.70"
"NIFTY ENERGY","01 Feb 2024","36978.30","37237.65","36714.05","36910.60"
"NIFTY ENERGY","31 Jan 2024","36470.75","36827.85","36460.30","36748.00"
"NIFTY ENERGY","30 Jan 2024","37221.95","37221.95","36346.25","36398.80"
"NIFTY ENERGY","29 Jan 2024","35542.25","37106.50","35468.40","37024.75"
"NIFTY ENERGY","25 Jan 2024","34979.85","35330.00","34876.80","35203.85"
"NIFTY ENERGY","24 Jan 2024","34440.25","34982.85","34104.50","34895.10"
"NIFTY ENERGY","23 Jan 2024","35845.00","35846.45","34124.55","34324.30"
"NIFTY ENERGY","20 Jan 2024","35116.65","35483.20","35031.15","35236.10"
"NIFTY ENERGY","19 Jan 2024","34881.05","35034.20","34679.40","34985.30"
"NIFTY ENERGY","18 Jan 2024","34532.60","34846.10","34066.50","34580.50"
"NIFTY ENERGY","17 Jan 2024","34945.00","35319.90","34718.25","34853.25"
"NIFTY ENERGY","16 Jan 2024","35456.20","35495.55","35062.20","35185.05"
"NIFTY ENERGY","15 Jan 2024","35190.85","35480.10","34807.65","35449.85"
"NIFTY ENERGY","12 Jan 2024","34910.20","35016.45","34571.00","34969.95"
"NIFTY ENERGY","11 Jan 2024","34529.00","34831.35","34493.65","34776.70"
"NIFTY ENERGY","10 Jan 2024","34188.75","34374.30","33791.65","34330.65"
"NIFTY ENERGY","09 Jan 2024","34379.10","34460.95","34184.60","34226.70"
"NIFTY ENERGY","08 Jan 2024","34374.60","34472.90","34046.65","34142.60"
"NIFTY ENERGY","05 Jan 2024","34387.70","34503.80","34067.25","34216.15"
"NIFTY ENERGY","04 Jan 2024","33974.90","34328.05","33863.20","34189.25"
"NIFTY ENERGY","03 Jan 2024","33902.55","34074.65","33657.10","33791.60"
"NIFTY ENERGY","02 Jan 2024","33632.10","33791.40","33238.15","33703.70"
"NIFTY ENERGY","01 Jan 2024","33562.80","33715.10","33464.45","33544.20"
"NIFTY ENERGY","29 Dec 2023","33678.90","33679.50","33287.35","33468.05"
"NIFTY ENERGY","28 Dec 2023","33345.60","33784.80","33262.95","33721.40"
"NIFTY ENERGY","27 Dec 2023","33473.40","33537.30","33091.40","33212.60"
"NIFTY ENERGY","26 Dec 2023","32955.05","33308.25","32918.40","33246.25"
"NIFTY ENERGY","22 Dec 2023","32863.25","33042.50","32573.40","32810.15"
"NIFTY ENERGY","21 Dec 2023","31925.25","32781.50","31787.05","32720.10"
"NIFTY ENERGY","20 Dec 2023","33236.40","33574.10","32077.35","32151.60"
"NIFTY ENERGY","19 Dec 2023","32754.25","33126.20","32496.45","33036.15"
"NIFTY ENERGY","18 Dec 2023","32640.05","32640.05","32393.85","32521.25"
"NIFTY ENERGY","15 Dec 2023","32313.20","32675.65","32095.75","32580.65"
"NIFTY ENERGY","14 Dec 2023","32085.80","32151.10","31924.65","32075.80"
"NIFTY ENERGY","13 Dec 2023","31653.35","31853.40","31495.15","31812.10"
