"Index Name","Date","Open","High","Low","Close"
"NIFTY MNC","28 Mar 2024","25735.30","25968.15","25623.25","25873.65"
"NIFTY MNC","27 Mar 2024","25615.75","25781.35","25605.00","25652.00"
"NIFTY MNC","26 Mar 2024","25296.95","25586.50","25295.60","25516.65"
"NIFTY MNC","22 Mar 2024","25184.85","25490.50","25133.30","25455.60"
"NIFTY MNC","21 Mar 2024","25060.10","25251.55","25029.10","25214.15"
"NIFTY MNC","20 Mar 2024","24836.85","25016.70","24714.40","24934.70"
"NIFTY MNC","19 Mar 2024","25171.15","25199.00","24736.75","24775.05"
"NIFTY MNC","18 Mar 2024","25101.35","25236.25","24962.85","25212.80"
"NIFTY MNC","15 Mar 2024","24988.70","25163.65","24854.20","25108.90"
"NIFTY MNC","14 Mar 2024","24468.10","25027.35","24352.95","24985.85"
"NIFTY MNC","13 Mar 2024","25069.15","25163.25","24338.95","24482.95"
"NIFTY MNC","12 Mar 2024","25189.00","25221.85","24969.30","25028.05"
"NIFTY MNC","11 Mar 2024","25267.95","25365.65","25150.35","25171.50"
"NIFTY MNC","07 Mar 2024","25174.85","25272.95","25127.55","25187.55"
"NIFTY MNC","06 Mar 2024","25205.90","25229.35","24879.50","25134.30"
"NIFTY MNC","05 Mar 2024","25271.70","25295.40","25144.65","25193.50"
"NIFTY MNC","04 Mar 2024","25302.00","25347.45","25188.35","25248.95"
"NIFTY MNC","02 Mar 2024","25333.20","25338.70","25244.35","25275.85"
"NIFTY MNC","01 Mar 2024","25152.20","25267.50","25132.70","25249.95"
"NIFTY MNC","29 Feb 2024","24850.65","25168.00","24676.45","25090.65"
"NIFTY MNC","28 Feb 2024","25195.95","25214.80","24800.30","24852.70"
"NIFTY MNC","27 Feb 2024","25081.95","25216.10","25015.35","25140.70"
"NIFTY MNC","26 Feb 2024","25209.95","25235.10","24985.55","25090.05"
"NIFTY MNC","23 Feb 2024","25259.65","25322.05","25150.45","25206.10"
"NIFTY MNC","22 Feb 2024","25062.20","25228.10","24822.45","25199.20"
"NIFTY MNC","21 Feb 2024","24999.70","25097.60","24847.75","24928.55"
"NIFTY MNC","20 Feb 2024","24968.15","24990.40","24810.10","24929.80"
"NIFTY MNC","19 Feb 2024","24909.05","25018.85","24806.60","24957.20"
"NIFTY MNC","16 Feb 2024","24682.85","24849.60","24665.70","24819.80"
"NIFTY MNC","15 Feb 2024","24705.90","24727.50","24514.15","24601.75"
"NIFTY MNC","14 Feb 2024","24252.85","24692.55","24225.30","24634.70"
"NIFTY MNC","13 Feb 2024","24252.30","24423.60","24019.85","24378.90"
"NIFTY MNC","12 Feb 2024","24499.30","24569.95","24176.80","24214.55"
"NIFTY MNC","09 Feb 2024","24366.00","24471.10","24132.05","24453.55"
"NIFTY MNC","08 Feb 2024","24756.65","24756.65","24264.10","24309.05"
"NIFTY MNC","07 Feb 2024","24630.15","24645.25","24378.10","24567.80"
"NIFTY MNC","06 Feb 2024","24260.65","24487.70","24188.60","24475.35"
"NIFTY MNC","05 Feb 2024","24391.65","24426.60","24107.30","24146.30"
"NIFTY MNC","02 Feb 2024","24252.15","24442.05","24230.95","24309.15"
"NIFTY MNC","01 Feb 2024","24356.35","24414.65","24178.90","24221.90"
"NIFTY MNC","31 Jan 2024","24059.90","24334.55","24032.10","24306.35"
"NIFTY MNC","30 Jan 2024","24252.05","24330.65","24021.10","24039.70"
"NIFTY MNC","29 Jan 2024","23969.90","24196.20","23955.50","24169.25"
"NIFTY MNC","25 Jan 2024","24022.45","24048.00","23781.85","23917.75"
"NIFTY MNC","24 Jan 2024","23653.95","23991.70","23428.90","23972.40"
"NIFTY MNC","23 Jan 2024","24029.25","24065.80","23470.80","23579.60"
"NIFTY MNC","20 Jan 2024","24204.40","24219.05","23997.55","24011.30"
"NIFTY MNC","19 Jan 2024","23972.80","24197.20","23952.05","24162.80"
"NIFTY MNC","18 Jan 2024","23901.45","23937.45","23513.25","23860.50"
"NIFTY MNC","17 Jan 2024","23953.95","24053.45","23864.65","23920.10"
"NIFTY MNC","16 Jan 2024","24181.90","24254.40","23992.05","24077.25"
"NIFTY MNC","15 Jan 2024","24125.45","24163.40","23994.30","24139.75"
"NIFTY MNC","12 Jan 2024","24064.30","24080.05","23962.95","24034.35"
"NIFTY MNC","11 Jan 2024","23988.70","24066.05","23935.00","24006.40"
"NIFTY MNC","10 Jan 2024","23933.85","23952.05","23784.00","23925.75"
"NIFTY MNC","09 Jan 2024","24018.05","24048.65","23860.85","23924.15"
"NIFTY MNC","08 Jan 2024","24296.10","24302.15","23866.25","23887.10"
"NIFTY MNC","05 Jan 2024","24298.65","24306.00","24134.60","24208.15"
"NIFTY MNC","04 Jan 2024","24173.40","24240.20","24115.35","24219.20"
"NIFTY MNC","03 Jan 2024","24190.35","24212.55","24035.85","24056.70"
"NIFTY MNC","02 Jan 2024","24326.60","24334.60","23981.95","24154.30"
"NIFTY MNC","01 Jan 2024","24252.70","24365.50","24184.80","24285.45"
"NIFTY MNC","29 Dec 2023","23968.25","24223.90","23931.20","24208.35"
"NIFTY MNC","28 Dec 2023","23904.95","23990.50","23855.30","23956.20"
"NIFTY MNC","27 Dec 2023","23836.20","23869.20","23745.70","23846.15"
"NIFTY MNC","26 Dec 2023","23652.20","23741.20","23585.25","23718.10"
"NIFTY MNC","22 Dec 2023","23426.90","23583.20","23378.55","23564.25"
"NIFTY MNC","21 Dec 2023","22973.35","23323.70","22890.70","23289.80"
"NIFTY MNC","20 Dec 2023","23672.60","23709.70","23050.65","23127.20"
"NIFTY MNC","19 Dec 2023","23575.35","23601.75","23418.90","23579.10"
