Model,Accuracy,MAE,MSE,RMSE,R2
KNN,0.9961078410268002,0.18467351041866573,0.07669585479258718,0.27694016464317195,0.9961078410268002
XGBoost,0.9907600694836565,0.28033511193539895,0.1820748777361658,0.42670232918999373,0.9907600694836565
CatBoost,0.9904121259988942,0.2978410023756753,0.1889311811829429,0.4346621460202658,0.9904121259988942
LightGBM,0.9885997037013962,0.2928592335651565,0.22464536405905347,0.47396768250488713,0.9885997037013962
Random Forest,0.9878615763466307,0.2941147357843119,0.23919032710124336,0.48907088146938715,0.9878615763466307
SVR,0.9064362331193851,0.9412395448523877,1.84369475346059,1.3578272178228679,0.9064362331193851
