Model,Accuracy,MAE,MSE,RMSE,R2
KNN Regressor,0.9946485944787398,0.21366571428571424,0.10545063128739458,0.3247316296380668,0.9946485944787398
XGBoost Regressor,0.9903272973352726,0.26550210591805085,0.1906027487916053,0.43658074716094075,0.9903272973352726
CatBoost Regressor,0.9900392927981031,0.3133797463099767,0.19627794199785784,0.44303266470753355,0.9900392927981031
Random Forest Regressor,0.9884366104075178,0.27330829831932496,0.22785915354480185,0.4773459474477623,0.9884366104075178
LGBM Regressor,0.9880064512772387,0.29913065183016047,0.23633553449962977,0.48614353281683154,0.9880064512772387
SVR,0.8608488627052335,1.2021181212750671,2.7420039863913304,1.6558997513108487,0.8608488627052335
