"Index Name","Date","Open","High","Low","Close"
"NIFTY COMMODITIES","31 Mar 2021","4472.35","4505.60","4454.55","4473.75"
"NIFTY COMMODITIES","30 Mar 2021","4447.35","4496.75","4440.40","4476.70"
"NIFTY COMMODITIES","26 Mar 2021","4382.65","4408.95","4361.30","4399.30"
"NIFTY COMMODITIES","25 Mar 2021","4429.60","4433.85","4309.00","4337.10"
"NIFTY COMMODITIES","24 Mar 2021","4474.90","4491.75","4411.65","4417.65"
"NIFTY COMMODITIES","23 Mar 2021","4494.70","4518.60","4481.05","4507.85"
"NIFTY COMMODITIES","22 Mar 2021","4457.05","4490.40","4433.85","4480.50"
"NIFTY COMMODITIES","19 Mar 2021","4299.70","4447.75","4229.10","4435.15"
"NIFTY COMMODITIES","18 Mar 2021","4409.20","4432.75","4310.45","4331.50"
"NIFTY COMMODITIES","17 Mar 2021","4475.20","4477.85","4356.50","4365.85"
"NIFTY COMMODITIES","16 Mar 2021","4495.10","4504.40","4461.15","4473.60"
"NIFTY COMMODITIES","15 Mar 2021","4491.25","4491.50","4397.00","4476.25"
"NIFTY COMMODITIES","12 Mar 2021","4535.80","4551.30","4444.50","4469.10"
"NIFTY COMMODITIES","10 Mar 2021","4500.30","4501.10","4448.80","4491.80"
"NIFTY COMMODITIES","09 Mar 2021","4528.95","4542.65","4424.20","4463.95"
"NIFTY COMMODITIES","08 Mar 2021","4517.70","4548.45","4490.95","4502.05"
"NIFTY COMMODITIES","05 Mar 2021","4524.30","4568.80","4455.65","4480.70"
"NIFTY COMMODITIES","04 Mar 2021","4482.15","4559.90","4476.30","4538.40"
"NIFTY COMMODITIES","03 Mar 2021","4491.35","4542.90","4488.15","4536.55"
"NIFTY COMMODITIES","02 Mar 2021","4434.45","4460.50","4409.55","4447.80"
"NIFTY COMMODITIES","01 Mar 2021","4359.25","4412.30","4335.80","4402.50"
"NIFTY COMMODITIES","26 Feb 2021","4381.70","4434.00","4281.10","4304.45"
"NIFTY COMMODITIES","25 Feb 2021","4354.00","4446.75","4351.95","4435.30"
"NIFTY COMMODITIES","24 Feb 2021","4321.75","4345.05","4284.40","4323.45"
"NIFTY COMMODITIES","23 Feb 2021","4239.25","4317.20","4213.40","4296.90"
"NIFTY COMMODITIES","22 Feb 2021","4232.30","4275.55","4187.25","4204.00"
"NIFTY COMMODITIES","19 Feb 2021","4278.20","4299.40","4181.80","4227.05"
"NIFTY COMMODITIES","18 Feb 2021","4246.90","4295.70","4235.05","4273.10"
"NIFTY COMMODITIES","17 Feb 2021","4206.60","4238.70","4198.75","4226.95"
"NIFTY COMMODITIES","16 Feb 2021","4159.85","4243.20","4157.55","4221.95"
"NIFTY COMMODITIES","15 Feb 2021","4175.40","4181.00","4140.60","4149.30"
"NIFTY COMMODITIES","12 Feb 2021","4184.50","4189.45","4128.60","4150.55"
"NIFTY COMMODITIES","11 Feb 2021","4139.60","4189.20","4130.40","4182.85"
