"Index Name","Date","Open","High","Low","Close"
"NIFTY 200","31 Mar 2021","7717.00","7717.10","7662.10","7671.60"
"NIFTY 200","30 Mar 2021","7639.35","7738.25","7634.50","7726.75"
"NIFTY 200","26 Mar 2021","7565.65","7602.90","7525.45","7573.55"
"NIFTY 200","25 Mar 2021","7617.90","7619.55","7443.70","7476.25"
"NIFTY 200","24 Mar 2021","7694.35","7722.70","7596.30","7604.10"
"NIFTY 200","23 Mar 2021","7713.45","7771.30","7691.50","7742.05"
"NIFTY 200","22 Mar 2021","7681.60","7703.90","7626.45","7691.90"
"NIFTY 200","19 Mar 2021","7535.05","7697.70","7454.15","7678.50"
"NIFTY 200","18 Mar 2021","7739.65","7752.05","7538.95","7583.30"
"NIFTY 200","17 Mar 2021","7805.65","7809.70","7659.40","7671.75"
"NIFTY 200","16 Mar 2021","7822.20","7845.90","7773.75","7788.55"
"NIFTY 200","15 Mar 2021","7855.15","7855.95","7692.55","7788.10"
"NIFTY 200","12 Mar 2021","7981.85","7987.90","7804.05","7839.75"
"NIFTY 200","10 Mar 2021","7920.60","7930.90","7869.65","7909.55"
"NIFTY 200","09 Mar 2021","7869.70","7898.60","7785.60","7865.90"
"NIFTY 200","08 Mar 2021","7852.35","7901.65","7805.10","7821.45"
"NIFTY 200","05 Mar 2021","7857.60","7907.65","7773.60","7812.90"
"NIFTY 200","04 Mar 2021","7860.05","7959.70","7848.90","7904.35"
"NIFTY 200","03 Mar 2021","7876.55","7975.95","7852.05","7963.30"
"NIFTY 200","02 Mar 2021","7763.60","7822.50","7717.50","7802.95"
"NIFTY 200","01 Mar 2021","7675.05","7726.80","7647.15","7708.70"
"NIFTY 200","26 Feb 2021","7746.15","7772.05","7560.20","7591.25"
"NIFTY 200","25 Feb 2021","7839.65","7885.25","7832.75","7852.05"
"NIFTY 200","24 Feb 2021","7683.05","7796.30","7678.75","7785.90"
"NIFTY 200","23 Feb 2021","7685.95","7726.15","7621.65","7662.65"
"NIFTY 200","22 Feb 2021","7792.50","7800.95","7610.25","7634.40"
"NIFTY 200","19 Feb 2021","7846.70","7877.80","7734.60","7782.50"
"NIFTY 200","18 Feb 2021","7911.50","7922.15","7844.00","7864.45"
"NIFTY 200","17 Feb 2021","7916.05","7938.70","7868.65","7891.25"
"NIFTY 200","16 Feb 2021","7949.70","7978.90","7885.85","7928.05"
"NIFTY 200","15 Feb 2021","7891.70","7931.50","7880.80","7920.80"
"NIFTY 200","12 Feb 2021","7852.00","7877.65","7796.65","7839.15"
"NIFTY 200","11 Feb 2021","7793.35","7849.00","7788.35","7843.10"
"NIFTY 200","10 Feb 2021","7807.80","7831.40","7739.90","7808.20"
"NIFTY 200","09 Feb 2021","7829.00","7870.25","7774.00","7798.65"
"NIFTY 200","08 Feb 2021","7771.60","7821.15","7762.75","7802.35"
"NIFTY 200","05 Feb 2021","7742.95","7771.00","7682.10","7702.95"
"NIFTY 200","04 Feb 2021","7646.80","7715.25","7617.80","7707.60"
"NIFTY 200","03 Feb 2021","7622.30","7682.50","7536.60","7642.15"
"NIFTY 200","02 Feb 2021","7481.90","7600.85","7478.15","7568.70"
"NIFTY 200","01 Feb 2021","7138.40","7409.65","7080.75","7385.15"
"NIFTY 200","29 Jan 2021","7240.10","7250.35","7057.30","7076.80"
"NIFTY 200","28 Jan 2021","7159.40","7210.20","7121.65","7172.55"
"NIFTY 200","27 Jan 2021","7372.55","7372.55","7219.40","7240.50"
"NIFTY 200","25 Jan 2021","7500.15","7509.45","7361.15","7373.30"
"NIFTY 200","22 Jan 2021","7546.35","7567.65","7434.40","7441.00"
"NIFTY 200","21 Jan 2021","7633.40","7641.60","7508.55","7545.70"
"NIFTY 200","20 Jan 2021","7534.05","7594.95","7524.05","7585.95"
"NIFTY 200","19 Jan 2021","7439.75","7531.30","7438.10","7522.75"
"NIFTY 200","18 Jan 2021","7495.80","7498.50","7363.90","7392.80"
"NIFTY 200","15 Jan 2021","7579.80","7593.85","7445.00","7488.00"
"NIFTY 200","14 Jan 2021","7557.35","7584.05","7516.10","7575.65"
"NIFTY 200","13 Jan 2021","7609.55","7616.00","7484.90","7558.70"
"NIFTY 200","12 Jan 2021","7528.70","7585.15","7508.75","7568.85"
"NIFTY 200","11 Jan 2021","7540.40","7540.40","7478.80","7534.05"
"NIFTY 200","08 Jan 2021","7436.30","7488.15","7420.50","7478.25"
"NIFTY 200","07 Jan 2021","7421.00","7421.55","7366.45","7374.25"
"NIFTY 200","06 Jan 2021","7403.40","7408.15","7299.70","7361.75"
"NIFTY 200","05 Jan 2021","7305.60","7388.85","7285.35","7379.85"
