"Trade Date ","1 USD ","1 GBP ","1 EURO ","100 YEN "
"31-Mar-2021","73.5047","100.9509","86.0990","66.3600"
"30-Mar-2021","73.0407","100.5598","85.8494","66.3400"
"26-Mar-2021","72.4046","99.6234","85.3129","66.2600"
"25-Mar-2021","72.6102","99.3675","85.8190","66.6300"
"24-Mar-2021","72.6558","99.6150","86.0230","66.9600"
"23-Mar-2021","72.2928","100.0099","86.2169","66.4800"
"22-Mar-2021","72.3772","100.2579","86.0493","66.5600"
"19-Mar-2021","72.5155","100.9430","86.4515","66.6400"
"18-Mar-2021","72.5248","101.2688","86.8177","66.6100"
"17-Mar-2021","72.5716","100.8673","86.4105","66.5200"
"16-Mar-2021","72.4811","100.5221","86.4844","66.4000"
"15-Mar-2021","72.7097","101.1261","86.7572","66.5300"
"12-Mar-2021","72.6845","101.4739","86.8812","66.7700"
"10-Mar-2021","72.9737","101.0554","86.6227","67.0200"
"09-Mar-2021","73.1181","101.2305","86.7264","66.9900"
"08-Mar-2021","73.0023","100.9247","86.9177","67.3300"
"05-Mar-2021","72.7572","101.0103","86.9885","67.2700"
"04-Mar-2021","72.7126","101.4753","87.6851","67.8800"
"03-Mar-2021","73.0662","101.8747","88.2800","68.3700"
"02-Mar-2021","73.3507","101.9012","88.2047","68.6600"
"01-Mar-2021","73.2948","102.4915","88.5875","68.7800"
"26-Feb-2021","73.0408","101.8953","88.7967","68.7800"
"24-Feb-2021","72.2923","102.3760","87.8270","69.3800"
"23-Feb-2021","72.3707","101.8048","88.0520","68.8600"
"22-Feb-2021","72.3664","101.4263","87.7177","68.5000"
"18-Feb-2021","72.7327","100.7149","87.6148","68.6800"
"17-Feb-2021","72.8359","101.1482","88.0557","68.7700"
"16-Feb-2021","72.7219","101.3297","88.2587","68.9100"
"15-Feb-2021","72.5906","100.8835","88.1240","69.0700"
"12-Feb-2021","72.7998","100.4472","88.2877","69.4400"
"11-Feb-2021","72.7772","100.7741","88.2661","69.5900"
"10-Feb-2021","72.8458","100.6821","88.3270","69.6600"
"09-Feb-2021","72.8883","100.4377","88.0321","69.5100"
"08-Feb-2021","72.8623","100.0433","87.7170","69.0500"
"05-Feb-2021","72.8986","99.7258","87.1979","69.0700"
"04-Feb-2021","72.9152","99.1739","87.5916","69.3300"
"03-Feb-2021","72.9396","99.5742","87.8168","69.4400"
"02-Feb-2021","72.9805","99.8602","88.1113","69.5300"
"01-Feb-2021","73.0189","100.3586","88.5812","69.7500"
"29-Jan-2021","72.9519","100.0151","88.3010","69.8200"
"28-Jan-2021","73.0674","99.8929","88.3770","70.0700"
"27-Jan-2021","72.8176","100.0548","88.5632","70.2300"
"25-Jan-2021","72.9297","100.0255","88.8187","70.3200"
"22-Jan-2021","73.0380","100.0591","88.8624","70.4900"
"20-Jan-2021","73.1251","99.8874","88.8046","70.4800"
"19-Jan-2021","73.0243","99.8262","88.6447","70.3700"
"18-Jan-2021","73.2200","99.3478","88.4122","70.5700"
"15-Jan-2021","73.0243","99.8262","88.6447","70.3700"
"13-Jan-2021","73.1546","100.0638","89.3471","70.5500"
"12-Jan-2021","73.3725","99.3654","89.1730","70.4000"
"11-Jan-2021","73.4511","99.1800","89.4909","70.5200"
"08-Jan-2021","73.3344","99.5246","89.9446","70.6000"
"07-Jan-2021","73.1330","99.3444","90.0467","70.8400"
"06-Jan-2021","73.1390","99.6529","89.9990","71.1900"
"05-Jan-2021","73.1068","99.4058","89.6979","71.0300"
"04-Jan-2021","73.0115","99.8637","89.4191","70.8700"
"01-Jan-2021","73.0328","99.8018","89.2271","70.7000"
"29-Dec-2020","73.3669","98.9162","89.7928","70.7500"
"28-Dec-2020","73.5886","99.8445","89.9488","71.1200"
"24-Dec-2020","73.5838","99.7507","89.8080","71.0500"
"23-Dec-2020","73.8132","98.9855","89.9345","71.3400"
"22-Dec-2020","73.8879","99.0684","90.3097","71.4500"
"21-Dec-2020","73.6498","98.3451","89.7521","71.1900"
"18-Dec-2020","73.5146","99.4971","90.0348","71.1000"
"17-Dec-2020","73.4336","99.5427","89.7887","71.0700"
"16-Dec-2020","73.5209","98.9185","89.4068","70.9800"
"15-Dec-2020","73.6532","98.2401","89.5048","70.7600"
"14-Dec-2020","73.5417","98.0080","89.3002","70.7000"
"11-Dec-2020","73.5914","98.0031","89.4665","70.7300"
"10-Dec-2020","73.6684","98.3959","89.0769","70.5300"
"09-Dec-2020","73.5882","98.5498","89.3689","70.6500"
"08-Dec-2020","73.7613","98.5702","89.4002","70.8900"
"07-Dec-2020","73.7657","98.9341","89.4680","70.8400"
"04-Dec-2020","73.7413","99.2578","89.6404","70.9900"
"03-Dec-2020","73.8938","98.9320","89.5544","70.7400"
"02-Dec-2020","73.6501","98.8345","89.9374","70.5200"
"01-Dec-2020","73.5083","98.2448","87.9002","70.4400"
"27-Nov-2020","73.7983","98.7057","88.0222","70.9700"
"26-Nov-2020","73.8262","98.8641","88.0825","70.7500"
"25-Nov-2020","73.9762","98.6936","87.9903","70.7700"
"24-Nov-2020","73.9752","98.6972","87.6917","70.8600"
"23-Nov-2020","74.1409","98.8066","88.0626","71.4600"
"20-Nov-2020","74.1598","98.4956","88.1547","71.4700"
"19-Nov-2020","74.2555","98.2697","87.9764","71.5300"
"18-Nov-2020","74.3629","98.6087","88.2807","71.4900"
"17-Nov-2020","74.5087","98.4623","88.3261","71.2900"
"13-Nov-2020","74.6713","98.0036","88.1515","71.1600"
"12-Nov-2020","74.4500","98.2839","87.6172","70.7600"
"11-Nov-2020","74.2529","98.4311","87.7704","70.5000"
"10-Nov-2020","74.2116","97.8208","87.7829","70.6700"
"09-Nov-2020","73.9258","97.4041","87.8805","71.4100"
"06-Nov-2020","74.0535","97.2026","87.5159","71.5200"
"05-Nov-2020","74.2677","96.2594","87.1799","71.1900"
"04-Nov-2020","74.6915","97.0432","87.0519","71.1800"
"03-Nov-2020","74.3260","96.0946","86.6557","70.9800"
"02-Nov-2020","74.3220","95.8620","86.4870","70.9600"
"29-Oct-2020","73.9732","96.3269","86.9654","70.8700"
"28-Oct-2020","73.7650","96.2997","86.9237","70.7700"
"27-Oct-2020","73.7490","96.1700","87.2640","70.4400"
"26-Oct-2020","73.7331","96.0172","87.2533","70.3000"
"23-Oct-2020","73.5780","96.0585","86.7750","70.2600"
"22-Oct-2020","73.6557","96.8342","87.3075","70.3900"
"21-Oct-2020","73.4546","95.3818","87.0564","69.7700"
"20-Oct-2020","73.3337","94.9510","86.3377","69.5000"
"19-Oct-2020","73.4189","94.9786","85.9667","69.6400"
"16-Oct-2020","73.3830","94.5613","85.8420","69.7000"
"15-Oct-2020","73.2677","95.2602","86.0852","69.5800"
"14-Oct-2020","73.4558","94.8118","86.2738","69.6500"
